식당명,Date,Map,Rate,사람,수식,식당 분류,주요 메뉴,지역-대분류,지역-소분류
톨,2025-04-17,https://place.map.kakao.com/18515034,🥄🥄🥄,,서울 마포구 : 신촌/대흥,"🍚한식, 🍣일식",마제소바,서울 마포구,신촌/대흥
한창희천하일면,2024-04-18,https://place.map.kakao.com/670226941,🥄🥄🥄🥄,,서울 마포구 : 대흥,"🍚한식, 🍣일식",고기국수,서울 마포구,대흥
양지분식,2024-04-12,https://place.map.kakao.com/21410030,🥄🥄,,서울 마포구 : 신촌/대흥,🍙분식,덮밥,서울 마포구,신촌/대흥
두끼떡볶이 이대점,2024-04-22,https://place.map.kakao.com/26949275,🥄🥄,,서울 마포구 : 신촌,🍙분식,떡볶이,서울 마포구,신촌
마포쌈밥식당,2024-06-13,https://place.map.kakao.com/1919542306,🥄🥄🥄,,서울 마포구 : 신촌/대흥,🍚한식,쌈밥,서울 마포구,신촌/대흥
봉구스밥버거 서강대점,2024-04-02,https://place.map.kakao.com/169029905,🥄🥄,,서울 마포구 : 신촌/대흥,🍚한식,밥버거,서울 마포구,신촌/대흥
프레퍼스 다이어트 푸드,2024-04-22,https://place.map.kakao.com/929376837,🥄🥄,,서울 마포구 : 신촌,🥗샐러드,샐러드,서울 마포구,신촌
미가,2024-04-05,https://place.map.kakao.com/16443006,🥄🥄🥄,,서울 마포구 : 신촌/대흥,🍚한식,"제육, 파전",서울 마포구,신촌/대흥
홍원,2024-04-08,https://place.map.kakao.com/13083730,🥄🥄,,서울 마포구 : 신촌/대흥,🍜중식,"짜장, 짬뽕, 탕수육",서울 마포구,신촌/대흥
김영곤초밥,2024-04-04,https://place.map.kakao.com/892664076,🥄🥄,,서울 마포구 : 신촌/대흥,🍣일식,초밥,서울 마포구,신촌/대흥
신촌맛집 떡볶이돈까스,2024-04-23,https://place.map.kakao.com/1710216831,🥄,,서울 마포구 : 신촌/대흥,🍙분식,떡볶이,서울 마포구,신촌/대흥
뜸들이다 신촌직영점,,https://place.map.kakao.com/641152180,🥄🥄,,서울 마포구 : 신촌/대흥,🍚한식,덮밥,서울 마포구,신촌/대흥
남매밥상,2024-04-03,https://place.map.kakao.com/929653827,🥄🥄,,서울 마포구 : 신촌/대흥,🍚한식,"고등어구이, 제육, 찌개",서울 마포구,신촌/대흥
송계옥,2024-04-10,https://place.map.kakao.com/127242418,🥄🥄🥄🥄🥄,,서울 성동구 : 성수,🥩고기,"구이, 닭고기",서울 성동구,성수
페스티발,2024-04-10,https://place.map.kakao.com/1331993429,🥄🥄,,서울 성동구 : 성수,🍺술집,"맥주, 호프",서울 성동구,성수
다운타우너 광교갤러리아,2024-04-24,https://place.map.kakao.com/1624407362,🥄🥄🥄,,경기 수원 : 광교,🍔패스트푸드,햄버거,경기 수원,광교
미즈컨테이너 광교갤러리아,2024-04-25,https://place.map.kakao.com/1832557951,🥄🥄🥄🥄,,경기 수원 : 광교,🍝양식,"파스타, 피자",경기 수원,광교
아웃백 광교갤러리아,2024-04-26,https://place.map.kakao.com/1681181343,🥄🥄🥄,,경기 수원 : 광교,🍝양식,"스테이크, 파스타",경기 수원,광교
르프리크,2024-03-29,https://place.map.kakao.com/936069123,🥄🥄🥄🥄🥄,,서울 성동구 : 성수,🍔패스트푸드,햄버거,서울 성동구,성수
오목집 신도림점,2024-03-29,https://place.map.kakao.com/1774627288,🥄🥄🥄🥄,,"서울 구로구 : 구로,신도림",🍚한식,족발,서울 구로구,"구로, 신도림"
원조광명할머니빈대떡,2024-04-07,https://place.map.kakao.com/18598029,🥄🥄🥄🥄,,경기 광명 : 광명,🍚한식,빈대떡,경기 광명,광명
방화동 교동짬뽕,2024-04-10,https://place.map.kakao.com/25858128,🥄🥄🥄🥄🥄,,서울 강서구 : 방화,🍜중식,짬뽕,서울 강서구,방화
브루잉세레모니,2024-04-10,https://place.map.kakao.com/804984272,🥄🥄🥄🥄🥄,,서울 성동구 : 성수,☕카페,커피,서울 성동구,성수
감탄계숯불치킨 강남점,2024-04-14,https://place.map.kakao.com/413386069,🥄🥄🥄,,서울 강남구 : 강남,🍗치킨,치킨,서울 강남구,강남
개성손만두 마포점,2024-04-29,https://place.map.kakao.com/167873776,🥄🥄🥄,,서울 마포구 : 신촌/대흥,🍚한식,만두국,서울 마포구,신촌/대흥
바른치킨 서강대 로봇점,2024-04-29,https://place.map.kakao.com/1446748474,🥄🥄🥄,,서울 마포구 : 신촌/대흥,🍗치킨,치킨,서울 마포구,신촌/대흥
멘야요시,2024-04-30,https://place.map.kakao.com/2013584419,🥄🥄,,서울 마포구 : 신촌/대흥,🍣일식,"라멘, 야끼소바",서울 마포구,신촌/대흥
킹콩부대찌개 마포대흥오남매행복점,2024-05-01,https://place.map.kakao.com/1744462722,🥄🥄,,서울 마포구 : 신촌/대흥,🍚한식,부대찌개,서울 마포구,신촌/대흥
미드티운피자,2024-05-01,https://place.map.kakao.com/1620087875,🥄🥄🥄🥄,,서울 마포구 : 신촌/대흥,🍕피자,피자,서울 마포구,신촌/대흥
통큰갈비 마포공덕점,2024-05-02,https://place.map.kakao.com/971261193,🥄🥄,,서울 마포구 : 신촌/대흥,🥩고기,돼지고기,서울 마포구,신촌/대흥
펍휘트니,2024-05-03,https://place.map.kakao.com/197316893,🥄🥄,,서울 송파구 : 송파,🍺술집,호프,서울 송파구,송파
재모식당,2024-05-03,https://place.map.kakao.com/622222463,🥄🥄,,서울 마포구 : 신촌/대흥,🍚한식,"돈까스, 제육",서울 마포구,신촌/대흥
오지오커피,2024-05-04,https://place.map.kakao.com/1631067502,🥄🥄🥄🥄,,서울 강서구 : 마곡,☕카페,"커피, 크루키",서울 강서구,마곡
단토리,2024-05-04,https://place.map.kakao.com/1585759764,🥄🥄🥄🥄,,서울 강서구 : 마곡,🍺술집,일본식주점,서울 강서구,마곡
하이바 마곡점,2024-05-04,https://place.map.kakao.com/2104864628,🥄🥄🥄,,서울 강서구 : 마곡,🍺술집,호프,서울 강서구,마곡
할리스코 마곡점,2024-05-05,https://place.map.kakao.com/1615433470,🥄🥄🥄🥄🥄,,서울 강서구 : 마곡,🌮멕시칸,"퀘사디아, 타코",서울 강서구,마곡
정통집,2024-04-09,https://place.map.kakao.com/398715963,🥄🥄🥄🥄,,서울 마포구 : 신촌,🍚한식,돼지김치구이,서울 마포구,신촌
잉치킨,,https://place.map.kakao.com/1158337242,🥄🥄🥄,,서울 영등포구 : 영등포,🍗치킨,치킨,서울 영등포구,영등포
